Date,District,Header,Story,Source,Attack,Propaganda,Structural Discrimination,Material Damage,Reported status,year,type of incident,date_form
2015-03-25,Reinickendorf,Homophober Angriff am S-Bahnhof Wilhelmsruh,Ein 27-jähriger Mann wird gegen 19.35 Uhr auf dem S-Bahnhof Wilhelmsruh von einem 33-jährigen Mann homophob beleidigt und ins Gesicht geschlagen.,"Reach Out, Polizei Berlin 28.07.2015",physical,,,,,2015,physical attack,2015 Mar 25
2015-03-23,Treptow-Köpenick,Homophobe Vermietungspolitik,"Zwei Frauen versuchten bei einer privaten Gartenhaus-Vermietung einer Bootshausanlage ein Haus zu pachten. Die Vermieterin fragte die potenzielle Mieterin ob sie die Nachbarinnen kenne, bezugnehmend darauf, dass dort ein lesbisches Paar das Gartenhaus pachtet. Die Vermieterin wollte dann auch von der potenziellen Mieterin wissen, ob sie lesbisch seien. Als diese sagte, dass sie nicht ausschließen würde, auch mal eine Frau einzuladen, wurde ihr gesagt, dass kein Mietverhältnis zustande kommen könnte. Die Vermieterin begründete die homophobe Reaktion damit, dass die Nachbar_innen davon gestört werden würden und das Mietverhältnis aufkündigen könnten.",Zentrum für Demokratie,,,yes,,,2015,discrimination,2015 Mar 23
2015-03-23,Mitte,Bärgida Aufmarsch,"Am 12. sogenannte ""Abendspaziergang"", welcher von den Sympathisanten der landesweit agierenden PEGIDA am 23.03. in Berlin-Mitte durchgeführt wurde, beteiligten sich ca. 250 Teilnehmer. Der Demonstrationszug führte vorbei am ARD-Haus, wo lauthals ""Lügenpresse auf die Fresse"" skandiert wurde und zog dann weiter zum Brandenburger Tor. Der Aufmarsch war insbesondere geprägt von homphoben bzw. transphoben Redebeiträgen, in denen Forderungen wie „Weg mit dem Genderwahn“ propagiert wurden. Ferner wurde Muslimen unterstellt sie würden in Deutschland einen von ""linken Faschisten"" und ""grünen Volksverrätern"" geförderten ""Geburtenjihad"" betreiben.", Bürgermeldung  https://pegidaoffiziell.wordpress.com/pegida-deutschland/berlin/12-bargida/,,,,,,2015,,2015 Mar 23
2015-03-21,Charlottenburg-Wilmersdorf,LGBTQ*-feindlicher Angriff in Charlottenburg,"Am 21. März um 3.45 Uhr früh wurde eine 21-jährige crossdressende Person in der Charlottenburger Knesebeckstraße angegriffen. Die Person stand in der Knesebeckstraße, als fünf Personen eine Bar verließen. Sie pöbelten die Person in homosexuellen- und transfeindlicher sowie in misogyner Weise laut an. Sie versuchten die Person zu schlagen. Eine Begleiterin des Opfers stellte sich couragiert dazwischen. Die Angreifer stiegen in ein Taxi und flüchteten. Der Staatsschutz nahm Ermittlungen auf.","Reachout, queer.de 21.03.2015, Polizeimeldung vom 21.03.2015 Nr. 0695",physical,,,,,2015,physical attack,2015 Mar 21
2015-03-18,Treptow-Köpenick,Homophober Angriff in Baumschulenweg,"Ein 44-jähriger Mann, der einen Anstecker mit Regenbogen­flagge trägt, wird gegen 12.40 Uhr in der Baumschulenstraße aus homophober Motivation von einem unbekannten Mann ins Gesicht geschlagen.",Pressemeldung der Polizei,physical,,,,,2015,physical attack,2015 Mar 18
2015-03-17,Charlottenburg-Wilmersdorf,Treffen der Jungen Alternative im Europa-Center,"Am 17. März 2015 veranstaltete die „Junge Alternative Berlin“ eine Mitgliederversammlung im Restaurant Bavaria im Europacenter. Es gab einen Vorstandsbericht und einen Rückblick auf die Aktivitäten des letzten Quartals. Die „Junge Alternative“ ist die Jugendorganisation der Partei „Alternative für Deutschland“. Die „Junge Alternative Berlin“ vertritt in ihrem Grundsatzprogramm homophobe, transphobe, antifeministische, antikommunistische und nationalistische sowie wertkonservative Positionen.","Register CW, Facebook",,,,,,2015,,2015 Mar 17
2015-03-16,Mitte,Angriff auf Transsexuelle,Am 16. März wurde eine 50-jährige Frau in der Genter Straße (Wedding) von mehreren Personen transphob beleidigt. Ein Mann bespuckte sie und versuchte sie zu schlagen.,ReachOut,physical,,,,,2015,physical attack,2015 Mar 16
2015-03-05,Friedrichshain-Kreuzberg,Homophobe Beleidigung,,Register Friedrichshain-Kreuzberg,verbal,,,,,2015,verbal attack,2015 Mar 05
2015-03-05,Reinickendorf,Im Supermarkt angegriffen,Ein 38-jähriger Mann wird gegen 13.25 Uhr von einem 43-jährigen Mann in einem Supermarkt in der Residenzstraße rassistisch und homophob beleidigt und geschlagen.,"Reach Out, Polizei Berlin 30.04.2015",verbal,,,,,2015,verbal attack,2015 Mar 05
2015-02-28,Tempelhof-Schöneberg,Beleidigung aus homophober Motivation und Angriff,Am 28.02. wurde ein 38-jähriger Mann gegen 18.45 auf dem Wittenbergplatz von einem 28-jährigen Mann homophob beleidigt und gegen den Kopf gestoßen.,ReachOut,physical,,,,,2015,physical attack,2015 Feb 28
2015-02-24,Charlottenburg-Wilmersdorf,Treffen der Jungen Alternative im Europa-Center,"Am 24. Februar 2015 veranstaltete zum Thema Hamburgwahl die „Junge Alternative Berlin“ ein Treffen im Restaurant Bavaria im Europacenter. Die „Junge Alternative“ ist die Jugendorganisation der Partei „Alternative für Deutschland“. Die „Junge Alternative Berlin“ vertritt in ihrem Grundsatzprogramm homophobe, transphobe, antifeministische, antikommunistische und nationalistische sowie wertkonservative Positionen.","Register CW, Facebook",,,,,,2015,,2015 Feb 24
2015-02-22,Friedrichshain-Kreuzberg,Homophobe Beleidigung,"Gegen 4.25 Uhr beleidigt ein Mann Ende 20 eine andere Person am U-Bahnhof Samariterstraße als ""Faggot"" (Englisch für Schwuchtel). Weiterhin beleidigt er eine Frau rassistisch.",Register Friedrichshain-Kreuzberg,verbal,,,,,2015,verbal attack,2015 Feb 22
2015-02-17,Marzahn-Hellersdorf,Homophober Angriff in der Stollberger Straße,In der Stollberger Straße wird eine 20-jährige Frau gegen 19.10 Uhr von einem 36-jährigen Mann homophob beleidigt und geschlagen.,ReachOut ,physical,,,,,2015,physical attack,2015 Feb 17
2015-02-14,Tempelhof-Schöneberg,Angriff aus homophober Motivation,"In der Nacht zum 14.02.15 wurden zwei Männer auf der Damentoilette einer Bar in der Bülowstr. von drei fremden Männern tätlich angegriffen und homophob beleidigt. Als zwei Gäste des Lokals und ein Angestellter zu Hilfe eilten, konnten sie gemeinsam die Täter zunächst aus der Toilette und dann aus der Bar drängen. Dabei versprühte einer der Angreifer Reizgas und verletzte damit einen der Gäste und den Angestellten leicht.
Die Angreifer konnten noch vor dem Eintreffen der Polizei fliehen.
Der Polizeiliche Staatsschutz des Landeskriminalamtes hat die Ermittlungen übernommen.",Pressestelle der Polizei,physical,,,,,2015,physical attack,2015 Feb 14
2015-02-09,Charlottenburg-Wilmersdorf,Treffen der Jungen Alternative im Europa-Center,"Am 9. Februar 2015 veranstaltete zum Thema AfD-Parteitag in Bremen die „Junge Alternative Berlin“ ein Treffen im Restaurant Bavaria im Europacenter. Die „Junge Alternative“ ist die Jugendorganisation der Partei „Alternative für Deutschland“. Die „Junge Alternative Berlin“ vertritt in ihrem Grundsatzprogramm homophobe, transphobe, antifeministische, antikommunistische und nationalistische sowie wertkonservative Positionen.","Register CW, Facebook",,,,,,2015,,2015 Feb 09
2015-02-07,Mitte,Angriff auf Homosexuellen,"Am 7. Februar wurde ein Mann gegen 4.00 Uhr in der Chausseestraße von mehreren unbekannten Männern homophob beleidigt, danach schlug man ihm mit der Faust ins Gesicht.",ReachOut,physical,,,,,2015,physical attack,2015 Feb 07
2015-02-03,Mitte,Homophobe Aggression gegen ein lesbisches Paar,"Acht bis zehn junge Männer haben am Dienstagabend zwei Frauen in Berlin-Wedding beleidigt und geschlagen. Die beiden 23-Jährigen gingen Händchen haltend die Sparrstraße entlang, als sie von der Gang mit Schneebällen beworfen und und homophob beleidigt wurden, wie die Polizei mitteilte. Die Frauen verbaten sich dies, woraufhin die Jugendlichen begannen, sie mit Fäusten zu schlagen. Bevor die Polizei am Tatort eintraf, ergriff die Gang die Flucht. Dabei warfen sie noch eine Glasflasche auf die beiden 23-Jährigen, die diese aber verfehlte. Die beiden attackierten Frauen klagten über Kopfschmerzen, wollten sich allerdings nicht ärztlich behandeln lassen.",Tagesspiegel,physical,,,,,2015,physical attack,2015 Feb 03
2015-01-28,Tempelhof-Schöneberg,Massive Bedrohung und homophobe Pöbelei in einem Lokal in der Motzstr.," In der Nacht zum 29.01.15 betritt ein 46-jähriger Mann gegen 02.00 Uhr mit einem Hammer in der Hand ein Lokal in der Motzstraße in Schöneberg, bezeichnet sich als rechtsradikal und gibt Drohungen gegen Homosexuelle von sich. Da der Angestellte des Lokals sich bedroht fühlt, sprüht er dem 46-jährigen Pfefferspray ins Gesicht.
Der Polizeiliche Staatsschutz beim Landeskriminalamt hat die weiteren Ermittlungen übernommen.",Pressestelle der Polizei,verbal,,,,,2015,verbal attack,2015 Jan 28
2015-01-26,Charlottenburg-Wilmersdorf,Treffen der Jungen Alternative im Europa-Center,"Am 26. Januar 2015 veranstaltete zum Thema AfD-Parteitag in Bremen die „Junge Alternative Berlin“ ein Treffen im Restaurant Bavaria im Europacenter. Die „Junge Alternative“ ist die Jugendorganisation der Partei „Alternative für Deutschland“. Die „Junge Alternative Berlin“ vertritt in ihrem Grundsatzprogramm homophobe, transphobe, antifeministische, antikommunistische und nationalistische sowie wertkonservative Positionen.","Register CW, Facebook",,,,,,2015,,2015 Jan 26
2015-01-07,Tempelhof-Schöneberg,Versuchter Angriff und Beleidigung aus homophober Motivation,Am 07.01.15 wird ein 52-jähriger Mann gegen 18.30 Uhr in der Bülowstr. von einem unbekannten Mann homophob beleidigt und zu treten versucht.,ReachOut,physical,,,,,2015,physical attack,2015 Jan 07
2015-01-05,Charlottenburg-Wilmersdorf,Treffen der Jungen Alternative im Europa-Center,"Am 5. Januar 2015 veranstalte zum Thema Bärgida und Pegida die „Junge Alternative Berlin“ ein Treffen im Restaurant Bavaria im Europacenter. Die „Junge Alternative“ ist die Jugendorganisation der Partei „Alternative für Deutschland“. Die „Junge Alternative Berlin“ vertritt in ihrem Grundsatzprogramm homophobe, transphobe, antifeministische, antikommunistische und nationalistische sowie wertkonservative Positionen.","Register CW, Facebook",,,,,,2015,,2015 Jan 05
2016-12-30,Pankow,Homophober Angriff im Prenzlauer Berg,"Im Ortsteil Prenzlauer Berg wurden gegen 4:45 Uhr drei Männer in der Schönhauser Allee zuerst homophob beleidigt und anschließend geschlagen. Ein Paärchen (27 und 28 Jahre) und ein Begleiter (26 Jahre) gingen Arm und Arm die Straße entlang, als pötzlich zwei unbekannte Männer auf sie zukamen und begannen sie homophob zu beleidigen. Einer der beiden habe dann dem 26-Jährigen mit der flachen Hand ins Gesicht geschlagen. Als der 27-Jährige daraufhin dazwischen gegangen sei, bekam er nach seinen Angaben von dem aggressiven Unbekannten einen Faustschlag ins Gesicht. Anschließend flüchteten die Angreifer. Die beiden Geschlagenen erlitten leichte Verletzungen. Die Polizei hatte die Ermittlungen aufgenommen.",Pressemitteilung der Polizei vom 30.12.2016,physical,,,,,2016,physical attack,2016 Dec 30
2016-12-28,Mitte,LGBTIQ-feindlicher Angriff auf Frau ,Gegen 02.00 Uhr wird eine 19-jährige Frau in der Genthiner Straße auf einer Party aus transphober Motivation von einem unbekannten Mann mit der Faust ins Gesicht geschlagen.,ReachOut,physical,,,,,2016,physical attack,2016 Dec 28
2016-12-26,Tempelhof-Schöneberg,Homophober Angriff am S-Bahnhof Tempelhof,"Am 26.12.2016 wurde ein junger Mann gegen 17.00 Uhr auf einem Bahnsteig des S-Bahnhofes Tempelhof von einem unbekannten Mann homophob beleidigt und ins Gesicht geschlagen. Als der Betroffene daraufhin zu Boden stürzte, trat ihm der Angreifer mehrfach in den Rücken. Der junge Mann wurde mit Kopfverletzungen im Krankenhaus behandelt.
Der Polizeiliche Staatsschutz beim Landeskriminalamt hat die Ermittlungen übernommen.",Pressemeldung der Polizei v. 27.12.2016,physical,,,,,2016,physical attack,2016 Dec 26
2016-12-21,Neukölln,In Britz an der Wohnungstür geschlagen,Gegen 20.30 Uhr wurde eine 19-Jährige an ihrer Wohnungstür in Britz von vier unbekannten Männern homophob beleidigt und von einem der Täter mehrfach ins Gesicht geschlagen.,ReachOut,physical,,,,,2016,physical attack,2016 Dec 21
2016-12-18,Friedrichshain-Kreuzberg,Homophober Übergriff am U-Bhf. Warschauer Straße,"Ein 26-jähriger Mann, der in Begleitung eines anderen Mannes ist,  wird in der U-Bahn, in der Nähe des U-Bahnhofs Warschauer Straße, durch einen unbekannten Mann, der durch eine Frau begleitet wird, homophob beleidigt, gewürgt und der Täter versucht den 26-Jährigen am U-Bahnhof   Warschauer Straße aus der U-Bahn zu ziehen.",Polizei,verbal,,,,,2016,verbal attack,2016 Dec 18
2016-12-16,Mitte,Homophober Angriff in der U8,"Am 16. Dezember 2016 wurden drei homosexuelle Männer, die gegen Mittag mit der U8 auf der Fahrt zum Alexanderplatz waren, von vier anderen Männer beleidigt und geschlagen: Einer fragte das Trio, „warum seid ihr schwul?“. Der Älteste antwortete daraufhin, dass es erlaubt ist, homosexuell zu sein. Daraufhin bedrängte das Quartett das Trio. Die Belästigten stiegen am Alexanderplatz aus der U-Bahn und sollen dann versucht haben, den vier Männern aus dem Weg zu gehen. Das Trio soll dann des Weiteren darum gebeten haben, in Ruhe gelassen zu werden. Daraufhin sollen die vier Männer zwei der Homosexuellen in die Gesichter geschlagen haben. Zwei Mitarbeiterinnen der BVG bemerkten die Angriffe und trennten die mutmaßlichen Angreifer von den Attackierten. Daraufhin ergriffen die vier Verdächtigen die Flucht. Die Angegriffenen klagten über Schmerzen im Gesicht und erstatteten eine Anzeige. Etwa eine Stunde nach der Anzeigenaufnahme erkannten die Attackierten einen der mutmaßlichen Angreifer am Alexanderplatz wieder und informierten die Polizei. Beamte einer Einsatzhundertschaft nahmen den 17-Jährigen vorläufig fest. Er wurde zur Gefangenensammelstelle gebracht und nach erkennungsdienstlicher Behandlung entlassen.",Polizeimeldung Nr. 3067 vom 16.12.2016,physical,,,,,2016,physical attack,2016 Dec 16
2016-12-16,Friedrichshain-Kreuzberg,Tranphober Angriff in der Ohlauer Straße,Ein 34-jähriger Mann wird gegen 22.25 Uhr in einem Kiosk in der Ohlauer Straße durch zwei unbekannte Täter aus transphober Motivation beraubt   und mit einem Messer verletzt.,Polizei,physical,,,,,2016,physical attack,2016 Dec 16
2016-12-15,Charlottenburg-Wilmersdorf,Rassistische Äußerungen der AfD Charlottenburg-Wilmersdorf,"Im Dezember 2016 thematisierte die Alternative für Deutschland, Bezirksverband Charlottenburg-Wilmersdorf mehrfach, dass Integrationspolitik geringer zu bewerten sei als andere soziale Politiken. Am 5. Dezember 2016 hieß es auf der Facebookpage, Transmenschen sähen sich durch Diskriminierung im Arbeitsalltag weniger bedroht ""als von Masseneinwanderung aus Ländern, wo sexuelle Minderheiten hingerichtet werden"". Zum einen entspricht diese Behauptung nicht belegbar, zum anderen ist das Berliner Programm der Alternative für Deutschland durch gegen LGBTIQ* gerichtete Forderungen zur Genderpolitik geprägt, zum anderen werden hierbei Migrant*innen und LGBTIQ* gegeneinander ausgespielt. Am 15. Dezember 2016 verlinkten sie einen Artikel, der Ausgaben für Geflüchtete fehlenden Ausgaben für Wohnungslose entgegenstellte. Auch hierbei werden soziale Statusgruppen gegeneinander gerechnet. Dies stimmte die AfD-Fraktion in der Bezirksverordnetenversammlung Charlottenburg-Wilmersdorf am 15. Dezember 2016 gegen einen Erledigungsantrag zur Unterbringung Geflüchteter in Westend. Dazu behauptete die Partei auf ihrer Website, darin werden ""das Bezirksamt aufgefordert, auch Eingriffe in privates Eigentum zu erwägen"". Jedoch ist in der Drucksache lediglich von Grundstücken der landeseigenen BIM die Rede und von notwendigen Maßnahmen.",Register CW,verbal,,,,,2016,verbal attack,2016 Dec 15
2016-12-14,Marzahn-Hellersdorf,Hakenkreuz an Marzahner Promenade,"An der Marzahner Promenade wird ein Plakat an einem Baum entdeckt, auf dem ein Hakenkreuz abgebildet ist. Zusätzlich hat jemand „schwul“ darunter geschrieben.",Augenzeug_innenbericht / Register ASH,,,,,,2016,,2016 Dec 14
2016-12-11,Tempelhof-Schöneberg,Homophober Angriff in Schöneberg,"Eine 40-jährige Frau, die gegen 16.15 Uhr in der Goebenstraße in Begleitung einer Freundin ist, wird von Jugendlichen homophob beleidigt und gestoßen.","Polizei Berlin, 27.02.2017",physical,,,,,2016,physical attack,2016 Dec 11
2016-12-07,Marzahn-Hellersdorf,Zahlreiche rechtsextreme Hateposts z.T. mit NS-Vernichtungsvokabular auf Facebookseite der AfD M-H,"Auf der Facebookseite ""AfD Bezirksverband Marzahn-Hellersdorf"" werden in Pinnwand-Kommentaren zu einem Video vom Weihnachtsmarkt in Kaulsdorf u.a. folgende Hatepostings gefunden, die u.a. zu Gewalt gegen Muslime, politische Gegner*innen und die freiheitlich-demokratische Grundordnung der Bundesrepublik aufrufen. Sehr häufig wird NS-Vernichtungsvokabular verwendet [Grammatik und Rechtschreibfehler in den Zitaten sind aus den Originalen übertragen]:
Ein* User*in fordert: „Vergasen"" und schreibt: ""Untermenschen!!! Abschaum"" - Dieser User fordert die physische Vernichtung von Menschen, denen er mit dem Vokabular der NS-Propaganda im Holocaust die Lebensberechtigung abspricht.
Ein*e weitere*r User*in schreibt: ""Jeder der da [mit Geflüchteten zusammen auf dem Weihnachtsmarkt in Kaulsdorf] steht gehört eins aufs Maul und danach ab in die Wüste mit ihren Musel Freunden, aber ohne Wasser........."" Das ist ebenso eine Gewalt-, ja Mordfantasie gegen politische Gegner*innen. Der Post eines weiteren Users, der schreibt, „Ihr Gutmensch ihr seid alle Vaterlandsverräter Haut ab“, hat ein ähnlich aggressiv-gewalttätigen Tonfall – der Vorwurf des „Vaterlandsverrates“ ist ebenso eine Gewaltandrohung, die mit NS-Vokabular angedeutet wird.
Ein*e weitere*r User*in schreibt: ""Einfach nur zum Kotzen!!!!....Die machen sich hir breit wie Ungeziefer!!!....."" Auch hier wird mittels NS-Vokabular eine Vernichtung von Menschen fantasiert.
Ein*e weitere*r User*in fordert: ""Verjagt dieses Volk !!!"" Diese Worte erklären vermutlich Muslime zu einem ""Volk"", das ""verjagt"" werden soll.
Ein*e weitere*r User*in schreibt: ""Das rote Marzahn am besten einzäunen"" Hier werden Fantasien von einer Inhaftierung politischer Gegner*innen ausgedrückt; dies erinnert an die Terror-Praxis des NS-Staates gegen seine politischen Gegner*innen ab 1933 (willkürliche Inhaftierung in Zuchthäuser und sog. ""wilde Konzentrationslager"").
Ein*e weitere*r User*in schreibt: ""Trotzdem erschreckend, wieviele Leute dieser perfiden Rapefugee Politik immer noch etwas abgewinnen können. "" - ""Rapefugee"" ist ein Begriff aus der rechtsextrem
Ein*e weitere*r User*in schreibt: ""Scheiß Islam "" Dies ist eine Beleidigung einer Religionsgemeinschaft.
Ein*e weitere*r User*in schreibt: ""Wie blöd ist das ehemals stolze Deutschland, das Land der mittlerweile eierlosen meterosexuellen und Sympathisanten von bärtigen Frauen. Die, schwuchteln im Fernsehen vergöttern und so sein wollen wie sie , wo Männer!! Sich mittlerweile dicker Schminken als ihre Frauen, und schischa rauchen und gebrochen deutsch reden. In den Schulen öffentlich gekifft wird ."" Hier werden homophobe bzw. LGBTI*-feindliche Ressentiments mit rassistischen und islamfeindlichen Ressentiments vermischt und mit einer aggressiven Sprache verbreitet. Zugleich wird hier gegen den angeblichen 'Untergang der deutschen Kultur' in den Medien agitiert.
Ein*e weitere*r User*in postet ein Bild in der eine Dixi-Toilette als Moschee dargestellt wird, was eine massive Beleidigung und Abwertung einer Religion ist. Das Grundgesetz garantiert mit dem Gebot der Religionsfreiheit die ungehinderte Ausübung der Religion.
Andere Facebookuser_innen schreiben „Ekelhaft – Bombe drauf und gut“, „Zum Kotzen… Faule Einer und drauf (auch wenn faule Einer mehr wert sind als die!)“,„Und die blöden Versifften und das Gesocks tanzt dazu, lächerlich,  die machen sich zum Affen. Kotz!!“, „Da hätte ich randaliert. Glock 17 einmal durchladen und 2 mal richtung oberkörper“.
Ein*e User*in schreibt: „unfassbar was wir uns im eigenen Land gefallen lassen! [syrische Musik auf Weihnachtsmärkten ist gemeint] Die Deutschen sind durch Ihr Trauma 2. Weltkrieg zu Weicheiern und Ja Sagern erstarrt !!! Wir wollen diese Scheiss Islamisierung nicht !!!“ Dies ist eine Verdrehung historischer Tatsachen, da hier der Eindruck erweckt wird, dass „die Deutschen“ Opfer des Zweiten Weltkrieges gewesen seien, der ein nie dagewesener Rasse- und Vernichtungskrieg war, den das deutsche Reich begann und „total“ durchführte. Der systematischen Entrechtung, Inhaftierung und dem dann folgenden Rasse- und Vernichtungskrieg fielen ca. sechs Millionen Juden und Jüdinnen, mindestens 27 Millionen Sowjetbürger*innen und Millionen weitere Menschen in ganz Europa zum Opfer. Der Krieg konnte erst durch die vollständige militärische Niederringung des Deutschen Reiches durch die Alliierten beendet werden. Eine Beendigung des Krieges gleichsam „von innen“ durch Deutsche, die hier als Opfer dargestellt werden, hat es nicht gegeben.
Weitere User*innen posten ein Bild, auf dem der Schauspieler Bruno Ganz in seiner Rolle als Adolf Hitler im Film „Der Untergang“ zu sehen ist oder ein Bild vermutlich aus dem NS-Propagandafilm „Olympia“ von 1936 von der NS-Regisseurin Leni Reifenstahl; darauf ist eine junge blonde sportliche Frau mit einem Speer bewaffnet zu sehen. Dies ist eine Verharmlosung und Verherrlichung des Nationalsozialismus. 
Außerdem schreibt ein*e User*in: „Merkel ist die Katastrophe des 20. Jahrhunderts für Europa... Geisteskrank und Realitätsblind... und diese umfragen immer... Das Deutschevolk hat zu 90%die Nase voll. Hauen sie ab. Und nehmen sie ihre unfähigen regierungsleute mit.... Man sollte sie mit gewalt aus dem Amt entfernen... so schnell es geht.. und alle bezüge streichen.. sowas hat keine bezüge aus steuer geld verdient...“ Hier wird zu einem gewaltsamen Vorgehen gegen die gewählte Regierung bzw. gegen die vom Grundgesetz garantierte parlamentarische, freiheitlich-demokratische Grundordnung der Bundesrepublik aufgerufen.","Polis* , Register ASH",verbal,,,,,2016,verbal attack,2016 Dec 07
2016-12-04,Tempelhof-Schöneberg,Homophobe Beleidigung in der Hohenstaufenstraße in Schöneberg,"Am 04.12.2016 gegen 3.40 Uhr wurden drei Mitarbeiter einer Bar in der Hohenstaufenstraße homophob beleidigt. Die Mitarbeiter hatten zuvor fünf Männern die vor der Tür der Bar standen signalisiert, dass sie bereits geschlossen haben. Daraufhin beleidigten die Männer sie lautstark mit homophoben Äußerungen und traten gegen die Tür.",Pressemeldung der Polizei v. 04.12.2016,verbal,,,,,2016,verbal attack,2016 Dec 04
2016-12-04,Neukölln,Homophob beschimpft und verletzt,Gegen 1 Uhr wurden ein 28-jähriger und ein 31-jähriger Mann auf dem U-Bahnhof Boddinstraße aus einer Männergruppe heraus homophob beleidigt. Der 28-Jährige wurde anschließend getreten und verletzt.,"Polizei Berlin, Polizeimeldung Nr. 2945",physical,,,,,2016,physical attack,2016 Dec 04
2016-12-03,Friedrichshain-Kreuzberg,Transphober Angriff am Kottbusser Tor,"Ein 19-jährige Person, die in Begleitung einer Frau ist, wird gegen 1.40 Uhr auf dem U-Bahnhof Kottbusser Tor aus einer Gruppe heraus durch einen 20-jährigen Mann aus transphober Motivation bespuckt.",Polizei,physical,,,,,2016,physical attack,2016 Dec 03
2016-12-02,Marzahn-Hellersdorf,Homophobe Hassanrufe gegen ein Stadtteilzentrum,"Ein*e Mitarbeiter*in eines Stadtteilzentrums wird von einer Frau am Telefon homophob beleidigt. Die anrufende Person behauptet, dass „ein Schwuler die Interessen der Frauen und der Familien des Bezirkes nicht vertreten darf.“","Augenzeug*in, BA, Polis*",verbal,,,,,2016,verbal attack,2016 Dec 02
2016-11-27,Neukölln,In Nordneukölln mit Pflasterstein bedroht und geschlagen,"Gegen 10 Uhr wurde ein 49-Jähriger durch eine 51-jährige Nachbarin homophob beleidigt, mit einem Pflasterstein bedroht und geschlagen.",ReachOut,physical,,,,,2016,physical attack,2016 Nov 27
2016-11-20,Pankow,LGBTQI-feindlicher Angriff,Ein 25-jähriger Mann wird gegen 5.20 Uhr in einer Diskothek in der Schönhauser Allee von einem unbekannten Mann aus LGBTQI-feindlicher Motivation beleidigt und mit der Faust ins Gesicht geschlagen.,Pressemitteilung der Polizei vom 20.11.2016,physical,,,,,2016,physical attack,2016 Nov 20
2016-11-16,Mitte,LGBTIQ*-feindlicher Angriff,Gegen 21.30 Uhr wird ein 18-jähriger Mann in Begleitung seiner Frau und seines Kindes in der Kurfürstenstraße aus einer Gruppe von fünf 14- bis 19-Jährigen heraus homophob beleidigt. Er wird von einem Jugendlichen mit einer abgebrochenen Bierflasche angegriffen.,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.533665.php   /   http://www.morgenpost.de/berlin/polizeibericht/article208737455/18-Jaehriger-verpruegelt-in-Bud-Spencer-Manier-junge-Maenner.html,physical,,,,,2016,physical attack,2016 Nov 16
2016-11-16,Tempelhof-Schöneberg,Homophober Angriff in Schöneberg,"Ein 57-jähriger Mann wird gegen 17.15 Uhr in seiner Wohnung von drei unbekannten Männern überfallen, homophob beleidigt und geschlagen.","Polizei Berlin, 27.02.2017",physical,,,,,2016,physical attack,2016 Nov 16
2016-11-13,Spandau,LGBTIQ-feindlich beleidigt und geschlagen,Eine Freundin eines Geflüchteten in der Unterkunft Motardstraße wird von einem Mitbewohner aus LGBTIQ-feindlicher Motivation beleidigt und der Geflüchtete wird mit einer Flasche geschlagen. Es wird Anzeige erstattet.,ReachOut,physical,,,,,2016,physical attack,2016 Nov 13
2016-11-12,Steglitz-Zehlendorf,Homophober Angriff in Steglitz,"Gegen 2.50 Uhr wird ein 45-jähriger Mann auf dem Steglitzer Damm von einem 27-jährigen Mann homophob beleidigt, geschlagen und getreten.",ReachOut,physical,,,,,2016,physical attack,2016 Nov 12
2016-11-06,Lichtenberg,Homophober Angriff in Hohenschönhausen,"Ein 24-Jähriger wurde um 1:10 Uhr nachts an der Tram-Haltestelle Falkenberger Chaussee Ecke Welsestraße von einem Mann homophob beleidigt. Ein weiterer Mann kam dazu, beteiligte sich an den homophoben Beleidigungen und führte einen Kopfstoß gegen den Beleidigten aus. Der Betroffene erlitt Verletzungen im Gesicht. Die Täter konnten unerkannt fliehen.",Polizei ,physical,,,,,2016,physical attack,2016 Nov 06
2016-11-06,Neukölln,Homophober Angriff in Rudow,Ein 19-Jähriger und sein 27 Jahre alter Freund wurden in Rudow aus homophober Motivation geschlagen. Täter war der Vater des 19-Jährigen.,ReachOut,physical,,,,,2016,physical attack,2016 Nov 06
2016-10-24,Charlottenburg-Wilmersdorf,Veranstaltung der Jungen Alternativen in Charlottenburg,"Am 24. Oktober 2016 fand ein Landeskongress der Jungen Alternativen Berlin in der Bibliothek des Konservatismus in der Fasanenstraße in Charlottenburg statt. Die „Junge Alternative“ ist die Jugendorganisation der Partei „Alternative für Deutschland“. Die „Junge Alternative Berlin“ vertritt in ihrem Grundsatzprogramm homophobe, transphobe, antifeministische, antikommunistische und nationalistische sowie wertkonservative Positionen. Sie weist teils personelle Überschneidungen mit der extrem rechten Identitären Bewegung Berlin-Brandenburg auf. Die Alternative für Deutschland (AfD) ist ein Sammelbecken unterschiedlicher Kräfte, in dieser befinden sich neben rechtspopulistischen und neurechten Personen und Positionen auch rechtsextreme.","Register CW, Facebook",,,,,,2016,,2016 Oct 24
2016-10-22,Marzahn-Hellersdorf,in S-Bahn beleidigt,Eine Person wird in der S-Bahnlinie S5 rassistisch und homofeindlich beleidigt.,Augenzeug_innenbericht / Register ASH,verbal,,,,,2016,verbal attack,2016 Oct 22
